"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34493","Date Picker Test","chromium","2026-09-02","passed","2026-09-02","","07datepicker.spec.ts","",""
"","170","get request with key","chromium","2026-08-30","passed","2026-08-30","","ApiTest.spec.ts","",""
"","1","test 3","chromium","2026-08-22","skipped","2026-08-22","","20hooks.spec.ts","",""
"","483","Get Request","chromium","2026-08-23","passed","2026-08-23","","1ApiPost.spec.ts","",""
"","529791","Selecting search from Dropdown","chromium","2026-09-02","failed","2026-09-02","","05multiSelectdropdown.spec.ts","",""
"","3","Single Frame Test","chromium","2026-09-02","skipped","2026-09-02","","10frames.spec.ts","",""
"","1","Scroll","chromium","2026-08-22","skipped","2026-08-22","","12scroll.spec.ts","",""
"","1","Test Webtables","chromium","2026-08-22","skipped","2026-08-22","","06Webtables.spec.ts","",""
"","0","Selecting Option from Dropdown","chromium","2026-08-22","skipped","2026-08-22","","04dropdowns.spec.ts","",""
"","1","Keyboard actions","chromium","2026-08-22","skipped","2026-08-22","","15fileUpload.spec.ts","",""
"","2","Place order for the user IPHONE 13 PRO","chromium","2026-08-22","skipped","2026-08-22","Place order for the user IPHONE 13 PRO","23parameterization.spec.ts","",""
"","665","Create Object","chromium","2026-08-29","passed","2026-08-29","","ApiTest.spec.ts","",""
"","0","Selecting search from Dropdown","chromium","2026-08-22","skipped","2026-08-22","","05multiSelectdropdown.spec.ts","",""
"","1","confirmation Alert Test","chromium","2026-08-22","skipped","2026-08-22","","08alerts.spec.ts","",""
"","92278","Handling Text Field","chromium","2026-09-02","passed","2026-09-02","","01textbox.spec.ts","",""
"","0","test 2","chromium","2026-08-22","skipped","2026-08-22","","20hooks.spec.ts","",""
"","1","prompt Alert Test","chromium","2026-08-22","skipped","2026-08-22","","08alerts.spec.ts","",""
"","132138","Selecting Option from Dropdown","chromium","2026-09-02","passed","2026-09-02","","04dropdowns.spec.ts","",""
"","36","Get One Object","chromium","2026-08-29","failed","2026-08-29","","ApiTest.spec.ts","",""
"","3","New Tab Window Test","chromium","2026-09-02","skipped","2026-09-02","","09multiplewindows.spec.ts","",""
"","1","Clicking on Button","chromium","2026-08-22","skipped","2026-08-22","","03rdbuttons.spec.ts","",""
"","87735","Clicking on Button","chromium","2026-09-02","passed","2026-09-02","","02click.spec.ts","",""
"","33714","screenshot","chromium","2026-09-02","failed","2026-09-02","","13screenshot.spec.ts","",""
"","0","Browser Settings","chromium","2026-08-22","skipped","2026-08-22","","18context.spec.ts","",""
"","0","Keyboard actions","chromium","2026-08-22","skipped","2026-08-22","","14keyboard.spec.ts","",""
"","1","Login to client Application","chromium","2026-08-22","skipped","2026-08-22","","22purchase.spec.ts","",""
"","44991","Mouse Actions Test","chromium","2026-09-02","passed","2026-09-02","","11mouseActions.spec.ts","",""
"","1","test 4","chromium","2026-08-22","skipped","2026-08-22","","20hooks.spec.ts","",""
"","1","Single Frame Test","chromium","2026-08-22","skipped","2026-08-22","","10frames.spec.ts","",""
"","137","Patch Request","chromium","2026-08-23","passed","2026-08-23","","1ApiPost.spec.ts","",""
